"Номер";"Группа1";"Группа2";"Группа3";"Группа4"
"строка 78";"L";"aaaa\nbbbb\ncccc\nddddd\neeeeee\nfffffff\ngggg\nhhhh\niiiii\njjjjj\nkkkkk\nllll";"XaaaXbbbXcccXdddXeeeXfffXgggXhhhXiiiXjjjXkkkXlllXcbaXaaaa";"NOMATCH"
"строка 79";"E";"a*a*a*a*a*b";"aaaaaaaaab";"(0,10)"
"строка 80";"BE";"^";"NULL";"(0,0)"
"строка 81";"BE";"$";"NULL";"(0,0)"
"строка 82";"BE";"^$";"NULL";"(0,0)"
"строка 83";"BE";"^a$";"a";"(0,1)"
"строка 84";"BE";"abc";"abc";"(0,3)"
"строка 85";"BE";"abc";"xabcy";"(1,4)"
"строка 86";"BE";"abc";"ababc";"(2,5)"
"строка 87";"BE";"ab*c";"abc";"(0,3)"
"строка 88";"BE";"ab*bc";"abc";"(0,3)"
"строка 89";"BE";"ab*bc";"abbc";"(0,4)"
"строка 90";"BE";"ab*bc";"abbbbc";"(0,6)"
"строка 91";"E";"ab+bc";"abbc";"(0,4)"
"строка 92";"E";"ab+bc";"abbbbc";"(0,6)"
"строка 93";"E";"ab?bc";"abbc";"(0,4)"
"строка 94";"E";"ab?bc";"abc";"(0,3)"
"строка 95";"E";"ab?c";"abc";"(0,3)"
"строка 96";"BE";"^abc$";"abc";"(0,3)"
"строка 97";"BE";"^abc";"abcc";"(0,3)"
"строка 98";"BE";"abc$";"aabc";"(1,4)"
"строка 99";"BE";"^";"abc";"(0,0)"
"строка 100";"BE";"$";"abc";"(3,3)"
"строка 101";"BE";"a.c";"abc";"(0,3)"
"строка 102";"BE";"a.c";"axc";"(0,3)"
"строка 103";"BE";"a.*c";"axyzc";"(0,5)"
"строка 104";"BE";"a[bc]d";"abd";"(0,3)"
"строка 105";"BE";"a[b-d]e";"ace";"(0,3)"
"строка 106";"BE";"a[b-d]";"aac";"(1,3)"
"строка 107";"BE";"a[-b]";"a-";"(0,2)"
"строка 108";"BE";"a[b-]";"a-";"(0,2)"
"строка 109";"BE";"a]";"a]";"(0,2)"
"строка 110";"BE";"a[]]b";"a]b";"(0,3)"
"строка 111";"BE";"a[^bc]d";"aed";"(0,3)"
"строка 112";"BE";"a[^-b]c";"adc";"(0,3)"
"строка 113";"BE";"a[^]b]c";"adc";"(0,3)"
"строка 114";"E";"ab|cd";"abc";"(0,2)"
"строка 115";"E";"ab|cd";"abcd";"(0,2)"
"строка 116";"E";"a\(b";"a(b";"(0,3)"
"строка 117";"E";"a\(*b";"ab";"(0,2)"
"строка 118";"E";"a\(*b";"a((b";"(0,4)"
"строка 119";"E";"((a))";"abc";"(0,1)(0,1)(0,1)"
"строка 120";"E";"(a)b(c)";"abc";"(0,3)(0,1)(2,3)"
"строка 121";"E";"a+b+c";"aabbabc";"(4,7)"
"строка 122";"E";"a*";"aaa";"(0,3)"
"строка 123";"#E";"(a*)*";"-";"(0,0)(0,0)"
"строка 124";"E";"(a*)*";"-";"(0,0)(?,?)"
"строка 125";"E";"(a*)+";"-";"(0,0)(0,0)"
"строка 126";"#E";"(a*|b)*";"-";"(0,0)(0,0)"
"строка 127";"E";"(a*|b)*";"-";"(0,0)(?,?)"
"строка 128";"E";"(a+|b)*";"ab";"(0,2)(1,2)"
"строка 129";"E";"(a+|b)+";"ab";"(0,2)(1,2)"
"строка 130";"E";"(a+|b)?";"ab";"(0,1)(0,1)"
"строка 131";"BE";"[^ab]*";"cde";"(0,3)"
"строка 132";"#E";"(^)*";"-";"(0,0)(0,0)"
"строка 133";"E";"(^)*";"-";"(0,0)(?,?)"
"строка 134";"BE";"a*";"NULL";"(0,0)"
"строка 135";"E";"([abc])*d";"abbbcd";"(0,6)(4,5)"
"строка 136";"E";"([abc])*bcd";"abcd";"(0,4)(0,1)"
"строка 137";"E";"a|b|c|d|e";"e";"(0,1)"
"строка 138";"E";"(a|b|c|d|e)f";"ef";"(0,2)(0,1)"
"строка 139";"#E";"((a*|b))*";"-";"(0,0)(0,0)(0,0)"
"строка 140";"E";"((a*|b))*";"-";"(0,0)(?,?)(?,?)"
"строка 141";"BE";"abcd*efg";"abcdefg";"(0,7)"
"строка 142";"BE";"ab*";"xabyabbbz";"(1,3)"
"строка 143";"BE";"ab*";"xayabbbz";"(1,2)"
"строка 144";"E";"(ab|cd)e";"abcde";"(2,5)(2,4)"
"строка 145";"BE";"[abhgefdc]ij";"hij";"(0,3)"
"строка 146";"E";"(a|b)c*d";"abcd";"(1,4)(1,2)"
"строка 147";"E";"(ab|ab*)bc";"abc";"(0,3)(0,1)"
"строка 148";"E";"a([bc]*)c*";"abc";"(0,3)(1,3)"
"строка 149";"E";"a([bc]*)(c*d)";"abcd";"(0,4)(1,3)(3,4)"
"строка 150";"E";"a([bc]+)(c*d)";"abcd";"(0,4)(1,3)(3,4)"
"строка 151";"E";"a([bc]*)(c+d)";"abcd";"(0,4)(1,2)(2,4)"
"строка 152";"E";"a[bcd]*dcdcde";"adcdcde";"(0,7)"
"строка 153";"E";"(ab|a)b*c";"abc";"(0,3)(0,2)"
"строка 154";"E";"((a)(b)c)(d)";"abcd";"(0,4)(0,3)(0,1)(1,2)(3,4)"
"строка 155";"BE";"[A-Za-z_][A-Za-z0-9_]*";"alpha";"(0,5)"
"строка 156";"E";"^a(bc+|b[eh])g|.h$";"abh";"(1,3)"
"строка 157";"E";"(bc+d$|ef*g.|h?i(j|k))";"effgz";"(0,5)(0,5)"
"строка 158";"E";"(bc+d$|ef*g.|h?i(j|k))";"ij";"(0,2)(0,2)(1,2)"
"строка 159";"E";"(bc+d$|ef*g.|h?i(j|k))";"reffgz";"(1,6)(1,6)"
"строка 160";"E";"(((((((((a)))))))))";"a";"(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)"
"строка 161";"BE";"multiple words";"multiple words yeah";"(0,14)"
"строка 162";"E";"(.*)c(.*)";"abcde";"(0,5)(0,2)(3,5)"
"строка 163";"BE";"abcd";"abcd";"(0,4)"
"строка 164";"E";"a(bc)d";"abcd";"(0,4)(1,3)"
"строка 165";"E";"a[-]?c";"ac";"(0,3)"
"строка 166";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Qaddafi";"(0,15)(?,?)(10,12)"
"строка 167";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Mo'ammar Gadhafi";"(0,16)(?,?)(11,13)"
"строка 168";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Kaddafi";"(0,15)(?,?)(10,12)"
"строка 169";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Qadhafi";"(0,15)(?,?)(10,12)"
"строка 170";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Gadafi";"(0,14)(?,?)(10,11)"
"строка 171";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Mu'ammar Qadafi";"(0,15)(?,?)(11,12)"
"строка 172";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Moamar Gaddafi";"(0,14)(?,?)(9,11)"
"строка 173";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Mu'ammar Qadhdhafi";"(0,18)(?,?)(13,15)"
"строка 174";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Khaddafi";"(0,16)(?,?)(11,13)"
"строка 175";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Ghaddafy";"(0,16)(?,?)(11,13)"
"строка 176";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Ghadafi";"(0,15)(?,?)(11,12)"
"строка 177";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Ghaddafi";"(0,16)(?,?)(11,13)"
"строка 178";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muamar Kaddafi";"(0,14)(?,?)(9,11)"
"строка 179";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Quathafi";"(0,16)(?,?)(11,13)"
"строка 180";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Muammar Gheddafi";"(0,16)(?,?)(11,13)"
"строка 181";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Moammar Khadafy";"(0,15)(?,?)(11,12)"
"строка 182";"E";"M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]";"Moammar Qudhafi";"(0,15)(?,?)(10,12)"
"строка 183";"E";"a+(b|c)*d+";"aabcdd";"(0,6)(3,4)"
"строка 184";"E";"^.+$";"vivi";"(0,4)"
"строка 185";"E";"^(.+)$";"vivi";"(0,4)(0,4)"
"строка 186";"E";"^([^!.]+).att.com!(.+)$";"gryphon.att.com!eby";"(0,19)(0,7)(16,19)"
"строка 187";"E";"^([^!]+!)?([^!]+)$";"bas";"(0,3)(?,?)(0,3)"
"строка 188";"E";"^([^!]+!)?([^!]+)$";"bar!bas";"(0,7)(0,4)(4,7)"
"строка 189";"E";"^([^!]+!)?([^!]+)$";"foo!bas";"(0,7)(0,4)(4,7)"
"строка 190";"E";"^.+!([^!]+!)([^!]+)$";"foo!bar!bas";"(0,11)(4,8)(8,11)"
"строка 191";"E";"((foo)|(bar))!bas";"bar!bas";"(0,7)(0,3)(?,?)(0,3)"
"строка 192";"E";"((foo)|(bar))!bas";"foo!bar!bas";"(4,11)(4,7)(?,?)(4,7)"
"строка 193";"E";"((foo)|(bar))!bas";"foo!bas";"(0,7)(0,3)(0,3)"
"строка 194";"E";"((foo)|bar)!bas";"bar!bas";"(0,7)(0,3)"
"строка 195";"E";"((foo)|bar)!bas";"foo!bar!bas";"(4,11)(4,7)"
"строка 196";"E";"((foo)|bar)!bas";"foo!bas";"(0,7)(0,3)(0,3)"
"строка 197";"E";"(foo|(bar))!bas";"bar!bas";"(0,7)(0,3)(0,3)"
"строка 198";"E";"(foo|(bar))!bas";"foo!bar!bas";"(4,11)(4,7)(4,7)"
"строка 199";"E";"(foo|(bar))!bas";"foo!bas";"(0,7)(0,3)"
"строка 200";"E";"(foo|bar)!bas";"bar!bas";"(0,7)(0,3)"
"строка 201";"E";"(foo|bar)!bas";"foo!bar!bas";"(4,11)(4,7)"
"строка 202";"E";"(foo|bar)!bas";"foo!bas";"(0,7)(0,3)"
"строка 203";"E";"^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$";"foo!bar!bas";"(0,11)(0,11)(?,?)(?,?)(4,8)(8,11)"
"строка 204";"E";"^([^!]+!)?([^!]+)$|^.+!([^!]+!)([^!]+)$";"bas";"(0,3)(?,?)(0,3)"
"строка 205";"E";"^([^!]+!)?([^!]+)$|^.+!([^!]+!)([^!]+)$";"bar!bas";"(0,7)(0,4)(4,7)"
"строка 206";"E";"^([^!]+!)?([^!]+)$|^.+!([^!]+!)([^!]+)$";"foo!bar!bas";"(0,11)(?,?)(?,?)(4,8)(8,11)"
"строка 207";"E";"^([^!]+!)?([^!]+)$|^.+!([^!]+!)([^!]+)$";"foo!bas";"(0,7)(0,4)(4,7)"
"строка 208";"E";"^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$";"bas";"(0,3)(0,3)(?,?)(0,3)"
"строка 209";"E";"^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$";"bar!bas";"(0,7)(0,7)(0,4)(4,7)"
"строка 210";"E";"^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$";"foo!bar!bas";"(0,11)(0,11)(?,?)(?,?)(4,8)(8,11)"
"строка 211";"E";"^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$";"foo!bas";"(0,7)(0,7)(0,4)(4,7)"
"строка 212";"E";".*(/XXX).*";"/XXX";"(0,4)(0,4)"
"строка 213";"E";".*(\\XXX).*";"\XXX";"(0,4)(0,4)"
"строка 214";"E";"\\XXX";"\XXX";"(0,4)"
"строка 215";"E";".*(/000).*";"/000";"(0,4)(0,4)"
"строка 216";"E";".*(\\000).*";"\000";"(0,4)(0,4)"
"строка 217";"E";"\\000";"\000";"(0,4)"
